Flow idx, Flow, jumps_raw min, jumps_raw 25, jumps_raw 50, jumps_raw 75, jumps_raw max, jumps_raw std, jumps min, jumps 25, jumps 50, jumps 75, jumps max, jumps std
      48,   O0,    -215,          4.00,         16.00,         51.00,     944,         69.81,    -224,         -1.00,         11.00,         46.00,     937,         69.62
      49,   T0,    -994,        -34.00,        -23.00,        -14.00,     348,         47.12,    -983,        -11.00,         -1.00,          8.00,     372,         46.72
      50,   O0,    -180,          7.00,         16.00,         27.00,     982,         49.56,    -192,         -1.00,          7.00,         18.00,     974,         49.25
      51,   A0,   -1000,        -90.00,        -41.00,        -25.00,     337,         84.62,    -977,        -64.00,        -14.00,          1.00,     370,         84.38
      52,   O0,    -245,          7.00,         23.00,         76.00,     922,         84.06,    -246,          1.00,         16.00,         70.00,     919,         83.94
      53,   G0,    -912,        -32.00,        -19.00,         -9.00,     276,         50.12,    -895,        -13.00,         -1.00,          9.00,     293,         49.91
      54,   O0,    -299,          1.00,         10.00,         23.00,     930,         48.38,    -295,         -2.00,          6.00,         18.00,     923,         48.16
      55,   T0,    -999,        -54.00,        -32.00,        -21.00,     303,         68.69,    -977,        -28.00,         -8.00,          2.00,     331,         68.31
      56,   O0,    -206,          5.00,         16.00,         37.00,     988,         66.69,    -207,          0.00,         10.00,         30.00,     985,         66.44
      57,   C0,    -992,       -160.00,        -75.00,        -35.00,     244,         89.00,    -980,       -135.00,        -51.00,        -11.00,     258,         88.69
      58,   O0,    -218,         19.00,         62.00,        154.00,     993,         91.69,    -218,         13.00,         56.00,        149.00,     990,         91.50
      59,   G0,    -976,        -62.00,        -29.00,        -16.00,     318,         66.06,    -960,        -42.00,         -9.00,          3.00,     340,         65.75
      60,   O0,    -399,          4.00,         17.00,         49.00,     944,         62.22,    -395,          2.00,         14.00,         47.00,     943,         62.03
      61,   A0,    -990,        -93.00,        -41.00,        -23.00,     210,         80.25,    -963,        -70.00,        -17.00,          0.00,     235,         79.94
      62,   O0,    -260,          9.00,         26.00,         77.00,     932,         74.31,    -261,          4.00,         20.00,         72.00,     931,         74.19
      63,   G0,    -909,        -28.00,        -16.00,         -6.00,     339,         44.38,    -891,        -12.00,         -1.00,          8.00,     354,         44.06
